Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2023-03-06,60224.46,60498.48,60005.65,60007.04,5900.0,0.007,0.007,0.008,-0.359,Low,7325.0,41.775,Low
2023-03-08,60348.09,60402.85,59844.82,59916.1,6500.0,0.002,0.002,0.007,0.102,Low,6970.0,40.326,Low
2023-03-09,59806.28,60467.09,59750.53,60467.09,7700.0,-0.009,-0.009,0.008,0.185,Low,6690.0,35.694,Low
2023-03-10,59135.13,59262.47,58884.98,59259.83,6300.0,-0.011,-0.011,0.008,-0.182,Low,6580.0,33.453,Low
2023-03-13,58237.85,59510.92,58094.55,59033.77,8000.0,-0.015,-0.015,0.008,0.27,Low,6715.0,30.305,Low
2023-03-14,57900.19,58490.98,57721.16,58168.75,10200.0,-0.006,-0.006,0.008,0.275,Medium,6935.0,28.829,Low
2023-03-15,57555.9,58473.63,57455.67,58268.54,7600.0,-0.006,-0.006,0.008,-0.255,Low,6965.0,31.649,Low
2023-03-16,57634.84,57887.46,57158.69,57510.8,7900.0,0.001,0.001,0.008,0.039,Low,7075.0,33.309,Low
2023-03-17,57989.9,58178.94,57503.9,58038.17,6300.0,0.006,0.006,0.008,-0.203,Low,7045.0,37.952,Low
2023-03-20,57628.95,57829.23,57084.91,57773.55,6500.0,-0.006,-0.006,0.007,0.032,Low,6965.0,36.836,Low
2023-03-21,58074.68,58133.33,57730.09,57963.27,5500.0,0.008,0.008,0.007,-0.154,Low,6935.0,43.091,Low
2023-03-22,58214.59,58418.78,58063.5,58245.26,0.0,0.002,0.002,0.007,-1.0,Low,6680.0,40.214,Low
2023-03-23,57925.28,58396.17,57838.85,58061.41,5100.0,-0.005,-0.005,0.007,inf,Low,6530.0,41.662,Low
2023-03-24,57527.1,58066.4,57422.98,57890.66,6400.0,-0.007,-0.007,0.007,0.255,Low,6495.0,28.869,Low
2023-03-27,57653.86,58019.55,57415.02,57566.9,6000.0,0.002,0.002,0.007,-0.062,Low,6530.0,24.851,Low
2023-03-28,57613.72,57949.45,57494.91,57751.5,4500.0,-0.001,-0.001,0.007,-0.25,Low,6380.0,22.804,Low
2023-03-29,57960.09,58124.2,57524.32,57572.08,5900.0,0.006,0.006,0.007,0.311,Low,6330.0,30.895,Low
2023-03-31,58991.52,59068.47,58273.86,58273.86,6500.0,0.018,0.018,0.008,0.102,Low,6360.0,48.617,Medium
