Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2021-02-19,3906.71,3930.41,3903.070068359375,3921.16,4845320000,-0.0,-0.0018566165820490526,0.01,0.011,High,5482208500.0,86.995,High
2021-02-22,3876.5,3902.92,3874.7099609375,3885.55,5917100000,-0.01,-0.007762902892533376,0.01,0.221,High,5522519000.0,72.243,High
2021-02-23,3881.37,3895.98,3805.590087890625,3857.07,6296610000,0.0,0.0012554994192235645,0.009,0.064,High,5487307500.0,65.032,High
2021-02-24,3925.43,3928.65,3859.60009765625,3873.71,6012790000,0.01,0.011287715277782164,0.009,-0.045,High,5481072000.0,71.326,High
2021-02-25,3829.34,3925.02,3814.0400390625,3915.8,6547470000,-0.02,-0.024783434790564104,0.01,0.089,High,5309619500.0,42.37,Low
2021-02-26,3811.15,3861.08,3789.5400390625,3839.66,6526070000,-0.0,-0.004761483718072275,0.01,-0.003,High,5286284500.0,36.532,Low
2021-03-01,3901.82,3914.5,3842.510009765625,3842.51,5114820000,0.02,0.023512130081996933,0.011,-0.216,High,5209857000.0,47.992,Low
2021-03-02,3870.29,3906.41,3868.570068359375,3903.64,5536010000,-0.01,-0.008113671312552936,0.011,0.082,High,5214846000.0,44.468,Low
2021-03-03,3819.72,3874.47,3818.860107421875,3863.99,6173660000,-0.01,-0.013152318131987126,0.011,0.115,High,5247824500.0,39.248,Low
2021-03-04,3768.47,3843.67,3723.340087890625,3818.53,7195400000,-0.01,-0.013508037960082262,0.011,0.165,High,5364351000.0,34.062,Low
2021-03-05,3841.94,3851.69,3730.18994140625,3793.58,6851070000,0.02,0.019308363815583877,0.011,-0.048,High,5462942500.0,41.052,Low
2021-03-08,3821.35,3881.06,3819.25,3844.39,5871710000,-0.01,-0.005373684030541239,0.012,-0.143,High,5512554500.0,39.65,Low
2021-03-09,3875.44,3903.76,3851.929931640625,3851.93,5513560000,0.01,0.014055441418613446,0.012,-0.061,High,5555814500.0,45.265,Low
2021-03-10,3898.81,3917.35,3885.72998046875,3891.99,5847380000,0.01,0.006012173623113212,0.012,0.061,High,5619767500.0,48.729,Low
2021-03-11,3939.34,3960.27,3915.5400390625,3915.54,5312880000,0.01,0.010341818218279307,0.011,-0.091,High,5643558000.0,52.592,Medium
2021-03-12,3943.34,3944.99,3915.2099609375,3924.52,4476280000,0.0,0.0010148833501624158,0.01,-0.157,High,5637824000.0,55.54,Medium
2021-03-15,3968.94,3970.08,3923.5400390625,3942.96,4900100000,0.01,0.006470976590856805,0.01,0.095,High,5676076000.0,57.017,Medium
2021-03-16,3962.71,3981.04,3953.43994140625,3973.59,4613080000,-0.0,-0.0015709218841469892,0.009,-0.059,High,5653780500.0,53.18,Medium
2021-03-17,3974.12,3983.87,3935.739990234375,3949.57,4561660000,0.0,0.002875205304977583,0.009,-0.011,High,5645331000.0,64.435,High
2021-03-18,3915.46,3969.62,3910.860107421875,3953.5,5118590000,-0.01,-0.014870520601810135,0.009,0.122,High,5661578000.0,59.623,Medium
2021-03-19,3913.1,3930.12,3886.75,3913.14,7757420000,-0.0,-0.0006029206064693933,0.009,0.516,High,5807183000.0,51.243,Medium
2021-03-22,3940.59,3955.31,3914.159912109375,3916.48,4316260000,0.01,0.0070005595506540804,0.009,-0.444,High,5727141000.0,57.818,Medium
2021-03-23,3910.52,3949.13,3901.570068359375,3937.6,4669010000,-0.01,-0.007660100809949314,0.009,0.082,High,5645761000.0,60.58,Medium
2021-03-24,3889.14,3942.08,3889.070068359375,3919.93,4783020000,-0.01,-0.005482303984823847,0.009,0.024,High,5584272500.0,65.112,High
2021-03-25,3909.52,3919.54,3853.5,3879.34,4948340000,0.01,0.005226550815926714,0.01,0.035,High,5504316000.0,59.761,Medium
2021-03-26,3974.54,3978.19,3917.1201171875,3917.12,5483160000,0.02,0.016494413826353246,0.01,0.108,High,5452170500.0,69.61,High
2021-03-29,3971.09,3981.83,3943.25,3969.31,4628180000,-0.0,-0.0008684019308247895,0.01,-0.156,High,5427838500.0,64.068,Medium
2021-03-30,3958.55,3968.01,3944.35009765625,3963.34,4121510000,-0.0,-0.0031628196118815713,0.01,-0.109,High,5357113500.0,59.076,Medium
2021-03-31,3972.89,3994.41,3966.97998046875,3967.25,4578050000,0.0,0.003615992965994899,0.01,0.111,High,5277333000.0,55.538,Medium
2021-04-01,4019.87,4020.63,3992.780029296875,3992.78,4162130000,0.01,0.01175577423688851,0.01,-0.091,High,5125669500.0,61.062,Medium
2021-04-05,4077.91,4083.42,4034.43994140625,4034.44,4005030000,0.01,0.014335038467166317,0.011,-0.038,Medium,4983367500.0,64.401,High
2021-04-06,4073.94,4086.23,4068.139892578125,4075.57,4081270000,-0.0,-0.0009740121110818412,0.01,0.019,Medium,4893845500.0,64.788,High
2021-04-07,4079.95,4083.13,4068.31005859375,4074.29,4120810000,0.0,0.0014741432833555816,0.01,0.01,High,4824208000.0,64.275,High
2021-04-08,4097.17,4098.19,4082.5400390625,4089.95,3907100000,0.0,0.0042117580408072355,0.01,-0.052,Medium,4727194000.0,77.595,High
2021-04-09,4128.8,4129.48,4095.510009765625,4096.11,3640390000,0.01,0.007690316372555687,0.009,-0.068,Medium,4643569500.0,80.082,High
2021-04-12,4127.99,4131.76,4114.81982421875,4124.71,3588900000,-0.0,-0.00019620215667317165,0.009,-0.014,Medium,4599200500.0,78.236,High
2021-04-13,4141.59,4148.0,4124.43017578125,4130.1,3734720000,0.0,0.003289166381145364,0.009,0.041,Medium,4540931500.0,86.635,High
2021-04-14,4124.66,4151.69,4120.8701171875,4141.58,3985350000,-0.0,-0.004096179929697001,0.009,0.067,Medium,4509545000.0,87.875,High
2021-04-15,4170.42,4173.49,4139.759765625,4139.76,4033420000,0.01,0.011033158016154329,0.008,0.012,Medium,4483133000.0,88.79,High
2021-04-16,4185.47,4191.31,4170.75,4174.14,4163820000,0.0,0.0036022533265398387,0.008,0.032,High,4435394500.0,86.833,High
2021-04-19,4163.26,4180.81,4150.47021484375,4179.8,3810290000,-0.01,-0.005320582266875933,0.008,-0.085,Medium,4238038000.0,81.494,High
2021-04-20,4134.94,4159.18,4118.3798828125,4159.18,4342650000,-0.01,-0.006825603130708005,0.008,0.14,High,4239357500.0,77.486,High
